,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Moon
Mass(10^24kg),0.33,4.87,5.97,0.642,1898,568,86.8,102,0.073
Diameter(km),4879,12104,12756,6792,142984,120536,51118,49528,3475
Density(kg/m^3),5429,5243,5514,3934,1326,687,1270,1638,3340
Gravity(m/s^2),3.7,8.9,9.8,3.7,23.1,9,8.7,11,1.6
Escape Velocity(km/s),4.3,10.4,11.2,5,59.5,35.5,21.3,23.5,2.4
Rotation Period(hours),1407.6,-5832.5,23.9,24.6,9.9,10.7,-17.2,16.1,655.7
Length of Day(hours),4222.6,2802,24,24.7,9.9,10.7,17.2,16.1,708.7
Distance from Sun(10^6 km),57.9,108.2,149.6,228,778.5,1432,2867,4515,0.384
Perihelion(10^6 km),46,107.5,147.1,206.7,740.6,1357.6,2732.7,4471.1,0.363
Aphelion(10^6 km),69.8,108.9,152.1,249.3,816.4,1506.5,3001.4,4558.9,0.406
Orbital Period(days),88,224.7,365.2,687,4331,10747,30589,59800,27.3
Orbital Velocity(km/s),47.4,35,29.8,24.1,13.1,9.7,6.8,5.4,1.0
Orbital Inclination(degrees),7,3.4,0,1.8,1.3,2.5,0.8,1.8,5.1
Orbi Eccentricity,0.206,0.007,0.017,0.094,0.049,0.052,0.047,0.01,0.055
Obliquity to Orbit(degrees),0.034,177.4,23.4,25.2,3.1,26.7,97.8,28.3,6.7
Mean Temperature(C),167,464,15,-65,-110,-140,-195,-200,-20
Surface Pressure(bars),0,92,1,0.01,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
Numbers of Moons,0,0,1,2,92,83,27,14,0
Ring System,-,-,-,-,○,○,○,○,-
Global Magnetic Field,○,-,○,-,○,○,○,○,-
